video_id,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Closest Text Type,category,corpus,color
--1uHerc2Ns,18.29,-4.49,2.08,-2.73,-3.35,-1.26,Informational interaction,Entertainment,Y,2
-0a-kCtTydo,11.4,-1.47,-2.65,4.25,-2.33,1.97,Involved persuasion,Education,Y,2
-1bPm9kutLE,28.23,-1.39,-2.86,-3.11,-2.89,1.74,Informational interaction,Entertainment,Y,2
-3hYnVJs5Bo,32.1,-4.67,0.15,-3.89,-3.36,-0.83,Informational interaction,Entertainment,Y,2
-4pYs_Mkod8,18.18,-4.07,-0.24,1.88,1.56,0.43,Informational interaction,Sports,Y,2
-5VYvVkwHQo,19.36,-0.64,-3.19,-5.36,-2.92,0.27,Informational interaction,Sports,Y,2
-6RyI0ac-F0,17.48,-5.4,-2.85,5.31,-0.79,0.5,Involved persuasion,Sports,Y,2
-a6iMQ40YYQ,1.96,-0.32,3.88,1.9,1.58,1.77,Involved persuasion,Entertainment,Y,2
-a8ZVWEQqNU,23.29,-0.48,-1.43,2.66,-2.35,2.19,Informational interaction,People & Blogs,Y,2
-aasmu5U044,30.06,-3.39,-0.65,1.89,-2.23,-0.33,Informational interaction,People & Blogs,Y,2
-CmGDeozvbg,12.29,8.35,-2.75,-0.76,-3.92,-3.5,Imaginative narrative,Film & Animation,Y,2
-ctdGo80xdU,28.86,-4.1,-2.57,0.88,-0.46,-0.95,Informational interaction,People & Blogs,Y,2
-dHL8INjoPY,26.2,-2.32,-2.02,-1.2,-1.62,0.6,Informational interaction,People & Blogs,Y,2
-DsZP57ZkGA,25.02,-2.6,-0.99,-3.95,-1.49,0.34,Informational interaction,People & Blogs,Y,2
-dXtaWeE2n8,21.99,-1.49,-0.43,5.11,-3.07,6.07,Informational interaction,People & Blogs,Y,2
-fxGyZ4TpZo,17.86,-0.4,1.66,-4.09,-2.66,0.12,Informational interaction,Film & Animation,Y,2
-I8Oo-Af9cs,0.29,-4.75,-0.74,5.22,-0.5,0.62,Involved persuasion,Gaming,Y,2
-I9j1X4Dtto,23.72,-2.46,-1.18,4.0,-1.19,-2.0,Informational interaction,Film & Animation,Y,2
-ISGPIpJgPo,-6.56,-4.41,4.7,2.33,4.49,-0.38,General narrative exposition,Education,Y,2
-Ji2p6e0D2Y,22.33,-7.38,-7.87,-6.43,-3.92,-3.5,Informational interaction,People & Blogs,Y,2
-jW1cmHo3bA,34.56,-4.67,-1.24,3.66,-3.37,3.93,Informational interaction,People & Blogs,Y,2
-kCePEEBjvc,4.3,-5.76,-5.21,-5.77,-3.92,-3.5,Situated reportage,Film & Animation,Y,2
-KDmY-5Dllc,22.3,-3.65,-1.88,2.18,-2.72,-0.05,Informational interaction,Education,Y,2
-Ldbe8aKwn8,27.5,-0.17,-1.61,-0.12,-1.52,2.92,Informational interaction,People & Blogs,Y,2
-LOjBuuN51I,23.13,-4.84,-1.49,0.26,-2.69,-0.83,Informational interaction,Gaming,Y,2
-nA8aTDkj5Q,18.5,-4.96,-3.29,3.38,-1.33,1.05,Informational interaction,Entertainment,Y,2
-ngHFYQwXdM,16.23,-5.11,-4.41,3.75,-2.65,-2.0,Involved persuasion,Science & Technology,Y,2
-N_Wz6GKYxk,21.38,-0.11,-1.95,2.71,0.12,2.91,Informational interaction,Entertainment,Y,2
-o-XJAFJ7SU,18.29,-6.13,-1.09,-3.32,-3.29,0.53,Informational interaction,Entertainment,Y,2
-OPFcgxQbDk,17.12,-3.18,-1.19,5.81,-1.83,2.5,Involved persuasion,Entertainment,Y,2
-RWIN5dpcjw,17.79,-2.89,0.0399999999999999,-2.45,-0.87,0.62,Informational interaction,People & Blogs,Y,2
-TQZjP7K8nI,29.64,-4.32,-2.85,-3.42,-2.86,0.91,Informational interaction,Music,Y,2
-TRw17mTd8I,18.54,2.53,1.26,-3.12,-3.44,-1.02,Informational interaction,Education,Y,2
-ugHXsi-Gm4,4.67,-7.16,0.0099999999999999,2.51,-2.01,-0.52,Involved persuasion,Howto & Style,Y,2
-vMV-1hFdVE,28.46,-0.79,0.27,-2.38,-0.05,-1.09,Informational interaction,Film & Animation,Y,2
-Vud-L-gfoM,10.15,-3.12,-0.28,-0.69,-0.64,4.76,Involved persuasion,Education,Y,2
-WDqx7znva4,5.32,-1.25,-2.38,-4.13,2.2,1.08,Involved persuasion,News & Politics,Y,2
